"Course Long Title","Minimum Credits","Maximum Credits","This course fulfills:","Course Description"
"Principles of Accounting","4","-","-","This course provides an introduction to, and a basic understanding of, financial and managerial  accounting concepts, principles and procedures.  Emphasis will be placed on the use of accounting information by managers, creditors, stockholders, and other external parties.  Course coverage includes the basic accounting cycle, accounting for inventory, receivables, long-term assets, short and long-term liabilities, stockholders equity, financial statement analysis, cost behavior, cost estimation, budgeting, and relevant costs for decision making."
"Managerial and Cost Accounting","4","-","-","This course builds upon the managerial concepts presented in the Principles of Accounting course and introduces cost accounting concepts.  It examines the central role of managerial and cost accounting in the decision-making process of an organization.  Topics include cost-volume-profit analysis, job costing, process costing, master and flexible budgeting, variance analysis, capital budgeting, and cost behavior."
"Business Analytics","4","-","-","This course builds on previous business analytics skills to prepare students to understand, manage, and visualize the data; apply the appropriate analysis tools; and communicate insights gained and their relevance. (same as Mgt 320)"
"Intermediate Accounting I","4","-","-","Deals with financial accounting concepts and practice. Provides an expansion of the basic fundamentals of accounting procedure. Includes intensive coverage of the asset and liability sections of the balance sheet. Student applies accounting theory, standards, principles, and procedures to accounting problems. Requires junior or senior standing."
"Intermediate Accounting II","4","-","-","Further coverage of financial accounting concepts and practice. Includes intensive coverage of the stockholders' equity section of the balance sheet, the statement of changes in financial position, and other special topics, including pension costs, leases, and income tax allocation."
"Accounting for Government and Nonprofit Entities","2","-","-","Introduction to governmental and nonprofit accounting financial reporting principles, procedures, and analysis.  The integration of sustainable decision making into government and nonprofit communities is emphasized.  Junior standing required."
"Federal Income Taxation","4","-","-","Provide an in-depth introduction to the U.S. Tax System.  The primary focus of this course will be an analysis of individual income tax, with emphasis on the economic and legal effect on the individual taxpayer.  Much of the material is relevant to the taxpayer in the business environment, including taxation for the entrepreneur, financial planner partnership, estates & trusts and basic concepts of corporate taxation."
"Advanced Accounting","4","-","-","Accounting for mergers and consolidations, partnerships, foreign currency transactions, segment reporting, theoretical concepts of value and measurement, and special problems of various industries."
"Auditing and Assurance Services","4","-","-","Emphasizes the analysis of an entity's  business strategy, identification of risks, mapping of business processes, evaluation of internal controls, and the implications of each of those analyses on the quality of financial and non-financial information. The accounting profession's standards and prescribed procedures for financial statement audits are a significant component of the course. Legal responsibilities and professional ethics naturally integrate with the course content. Students learn how accounting professionals exercise judgement, examine client financial statement assertions and document a problem's analysis, the procedures applied, and the conclusions reached. Writing instruction and practice are incorporated to realistically reflect the practice of accounting.  Open only to seniors."
"Seminar","1","4","-","Selected topics in accounting."
"Senior Business Capstone","4","-","-","This course is designed to integrate and apply knowledge acquired throughout the accounting and management majors.  It offers a comprehensive exploration of strategic management principles and practices, focusing on analysis, formulation, and implementation of organizational strategies.  Students work on case studies, simulations and projects in a group environment to study and discuss contemporary issues in strategic management.  Students explore a specific area of research and present the results to an audience of peers and faculty."
"Blaxploitation Film:Its Birth & Evolution","4","-","Textual Literacy (TXT-L)","This course will explore the development of the film genre commonly referred to as ""Blaxploitation.""  Beginning in the late 60s and lasting through the 70s, this body of movies starred African-American actors who would become icons in black American culture.  Our study will focus on the social and political forces that gave birth to this wave of art, noting how the films challenged, resisted, transformed, or confirmed public perception about African-Americans, both within Black and mainstream communities.  The film's political content, as it relates to racial discourse, class realities, and gender norms, will serve as the focus of class conversation. (same as Eng 130 and IDS 131)"
"African-American History","4","-","Social Systems Literacy (SOC-L), Social & Environmental Justice (SEJ)","This course is a survey of African-American history from the 15th century to the present. Eras and topics include the trans-Atlantic slave trade, slavery in the Americas, the Civil War and Emancipation, segregation, the Great Migration, the Great Depression and World War II, the modern black freedom struggle, and the post-civil rights era.  The class emphasizes how African Americans constructed individual and collective selves, created livelihoods, formed families, communities, and institutions, fashioned cultures, defined citizenship, and consistently defied notions of a monolithic ""black community."" Centering African Americans' words, actions, and artistic creations and the ways they interacted with other cultures and peoples within the Americas and abroad, this course investigates how African Americans shaped and were shaped by the many worlds they traversed. (Same as HIST 135 and IDS 135)"
