#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1,Clayton Kershaw,477132,2036,2036,7150,*005ih*,LAD,SP,SP,Kershaw,Clayton,Kershaw,Clayton,Clayton Kershaw
2,Carlos Santana,467793,2396,2396,7514,*01cfr*,CHC,1B,1B,Santana,Carlos,Santana,Carlos,Carlos Santana
3,Cory Rasmus,474284,2413,,8492,,TB,P,P,Rasmus,Cory,Rasmus,Cory,Cory Rasmus
4,Tommy Pham,502054,2967,2967,8919,*025fx*,PIT,OF,OF,Pham,Tommy,Pham,Tommy,Tommy Pham
5,Kenley Jansen,445276,3096,3096,7931,*01svz*,LAA,RP,RP,Jansen,Kenley,Jansen,Kenley,Kenley Jansen
6,Max Scherzer,453286,3137,3137,6837,*004ee*,TOR,SP,SP,Scherzer,Max,Scherzer,Max,Max Scherzer
7,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam,Liam Hendriks
8,Justin Wilson,458677,4301,4301,8007,*025ko*,BOS,RP,RP,Wilson,Justin,Wilson,Justin,Justin Wilson
9,Charlie Morton,450203,4676,4676,6918,*005jn*,DET,SP,SP,Morton,Charlie,Morton,Charlie,Charlie Morton
10,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,OF,OF,Stanton,Giancarlo,Stanton,Giancarlo,Giancarlo Stanton
11,Anthony Gose,543238,5097,5097,7938,*01sha*,ARI,RP,RP,Gose,Anthony,Gose,Anthony,Anthony Gose
12,Justin Turner,457759,5235,5235,7742,*01lum*,CHC,1B/3B,1B/3B,Turner,Justin,Turner,Justin,Justin Turner
13,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy,Sandy León
14,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie,Freddie Freeman
15,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B/OF,2B/OF,Altuve,Jose,Altuve,Jose,Jose Altuve
